Wavelength [nm],Bare Silicon Wafer
1182,0.034097
1183,0.034587
1184,0.03511
1185,0.035677
1186,0.035893
1187,0.036119
1188,0.036396
1189,0.036545
1190,0.036734
1191,0.036634
1192,0.036499
1193,0.036321
1194,0.035818
1195,0.035612
1196,0.03501
1197,0.035096
1198,0.034869
1199,0.034632
1200,0.034339
1201,0.034262
1202,0.034049
1203,0.033805
1204,0.033696
1205,0.033578
1206,0.033508
1207,0.033224
1208,0.033616
1209,0.033491
1210,0.033536
1211,0.033784
1212,0.033332
1213,0.032849
1214,0.032735
1215,0.032217
1216,0.032104
1217,0.032169
1218,0.031558
1219,0.031312
1220,0.030872
1221,0.030394
1222,0.030337
1223,0.030044
1224,0.029629
1225,0.029492
1226,0.02924
1227,0.028635
1228,0.028365
1229,0.028075
1230,0.028058
1231,0.027789
1232,0.027617
1233,0.02731
1234,0.02678
1235,0.026703
1236,0.02713
1237,0.02683
1238,0.026209
1239,0.026436
1240,0.026143
1241,0.02609
1242,0.026036
1243,0.025734
1244,0.025836
1245,0.025845
1246,0.025627
1247,0.025505
1248,0.02558
1249,0.024893
1250,0.025184
1251,0.024806
1252,0.024855
1253,0.024893
1254,0.024705
1255,0.024653
1256,0.024839
1257,0.025151
1258,0.024843
1259,0.0249
1260,0.024697
1261,0.024859
1262,0.024533
1263,0.02447
1264,0.024902
1265,0.024766
1266,0.024713
1267,0.024499
1268,0.024412
1269,0.024513
1270,0.02455
1271,0.024416
1272,0.024206
1273,0.024411
1274,0.024233
1275,0.024414
1276,0.024473
1277,0.024148
1278,0.024391
1279,0.024275
1280,0.024139
1281,0.024183
1282,0.024318
1283,0.024222
1284,0.023922
1285,0.02395
1286,0.024185
1287,0.023986
1288,0.024174
1289,0.024091
1290,0.02422
1291,0.023945
1292,0.023742
1293,0.023992
1294,0.024115
1295,0.024068
1296,0.023701
1297,0.02388
1298,0.023956
1299,0.023824
1300,0.023861
1301,0.023812
1302,0.023828
1303,0.0239
1304,0.023864
1305,0.023993
1306,0.023868
1307,0.023745
1308,0.023718
1309,0.023823
1310,0.023906
1311,0.024009
1312,0.024234
1313,0.024294
1314,0.024158
1315,0.023856
1316,0.02413
1317,0.023898
1318,0.024161
1319,0.023986
1320,0.023867
1321,0.02377
1322,0.023765
1323,0.02389
1324,0.024133
1325,0.024012
1326,0.023952
1327,0.023872
1328,0.023749
1329,0.023997
1330,0.023943
1331,0.023818
1332,0.023831
1333,0.024041
1334,0.024005
1335,0.023893
1336,0.024067
1337,0.024045
1338,0.024035
1339,0.024028
1340,0.024104
1341,0.024086
1342,0.024396
1343,0.02453
1344,0.024549
1345,0.02443
1346,0.024442
1347,0.024719
1348,0.024887
1349,0.024886
1350,0.024991
1351,0.025218
1352,0.025587
1353,0.025777
1354,0.026355
1355,0.026844
1356,0.026817
1357,0.02709
1358,0.02744
1359,0.027627
1360,0.027765
1361,0.028244
1362,0.028703
1363,0.029107
1364,0.029364
1365,0.029529
1366,0.029912
1367,0.030158
1368,0.030423
1369,0.030522
1370,0.03058
1371,0.030703
1372,0.030917
1373,0.031042
1374,0.031104
1375,0.031129
1376,0.031278
1377,0.031558
1378,0.031557
1379,0.031778
1380,0.032379
1381,0.033008
1382,0.033215
1383,0.033432
1384,0.033552
1385,0.0333
1386,0.033269
1387,0.033253
1388,0.033174
1389,0.033115
1390,0.033163
1391,0.033354
1392,0.033421
1393,0.033616
1394,0.03377
1395,0.033922
1396,0.033878
1397,0.033541
1398,0.033123
1399,0.032746
1400,0.0325
1401,0.032273
1402,0.031916
1403,0.031626
1404,0.031531
1405,0.031698
1406,0.031838
1407,0.031949
1408,0.032142
1409,0.031954
1410,0.031937
1411,0.031883
1412,0.031826
1413,0.031746
1414,0.031644
1415,0.031448
1416,0.031007
1417,0.030764
1418,0.030474
1419,0.030552
1420,0.030517
1421,0.030185
1422,0.030157
1423,0.02996
1424,0.029786
1425,0.029822
1426,0.02968
1427,0.029584
1428,0.02974
1429,0.029745
1430,0.029711
1431,0.029745
1432,0.02984
1433,0.02971
1434,0.029419
1435,0.029182
1436,0.028928
1437,0.028782
1438,0.02868
1439,0.028811
1440,0.028725
1441,0.028538
1442,0.02829
1443,0.028429
1444,0.028474
1445,0.028491
1446,0.028138
1447,0.028065
1448,0.027819
1449,0.027468
1450,0.027411
1451,0.027465
1452,0.027366
1453,0.027046
1454,0.027173
1455,0.027124
1456,0.02702
1457,0.026738
1458,0.026885
1459,0.026798
1460,0.02689
1461,0.026959
1462,0.026876
1463,0.026626
1464,0.026453
1465,0.026282
1466,0.026323
1467,0.026444
1468,0.026384
1469,0.026252
1470,0.026066
1471,0.025971
1472,0.025952
1473,0.02603
1474,0.025807
1475,0.025926
1476,0.025863
1477,0.025621
1478,0.025919
1479,0.025957
1480,0.025785
1481,0.025716
1482,0.025635
1483,0.02589
1484,0.025825
1485,0.025717
1486,0.025551
1487,0.025469
1488,0.02556
1489,0.025367
1490,0.025518
1491,0.025753
1492,0.025419
1493,0.025559
1494,0.025703
1495,0.02532
1496,0.025271
1497,0.02516
1498,0.025235
1499,0.025393
1500,0.025315
1501,0.02515
1502,0.024783
1503,0.025049
1504,0.024853
1505,0.024871
1506,0.024959
1507,0.024689
1508,0.024822
1509,0.0249
1510,0.024857
1511,0.024654
1512,0.024516
1513,0.024538
1514,0.02457
1515,0.024474
1516,0.024483
1517,0.024658
1518,0.024617
1519,0.02482
1520,0.024589
1521,0.02453
1522,0.024659
1523,0.02454
1524,0.024548
1525,0.024391
1526,0.024272
1527,0.024169
1528,0.024259
1529,0.024274
1530,0.024243
1531,0.024094
1532,0.024267
1533,0.024375
1534,0.02414
1535,0.024037
1536,0.024051
1537,0.024435
1538,0.024153
1539,0.024019
1540,0.024097
1541,0.02411
1542,0.024211
1543,0.024159
1544,0.024177
1545,0.024102
1546,0.024099
1547,0.024059
1548,0.024085
1549,0.024087
1550,0.024109
1551,0.024198
1552,0.023992
1553,0.024062
1554,0.024291
1555,0.024369
1556,0.024491
1557,0.024207
1558,0.024434
1559,0.024491
1560,0.024569
1561,0.024346
1562,0.024617
1563,0.024361
1564,0.024474
1565,0.024683
1566,0.024607
1567,0.02462
1568,0.024569
1569,0.024618
1570,0.02458
1571,0.024256
1572,0.02437
1573,0.024266
1574,0.024465
1575,0.024459
1576,0.024494
1577,0.024623
1578,0.024479
1579,0.024757
1580,0.024675
1581,0.024278
1582,0.024527
1583,0.024477
1584,0.024594
1585,0.0244
1586,0.024633
1587,0.024633
1588,0.024276
1589,0.024343
1590,0.024649
1591,0.02463
1592,0.024731
1593,0.024572
1594,0.024516
1595,0.024778
1596,0.024654
1597,0.024852
1598,0.024616
1599,0.024938
1600,0.025057
1601,0.025095
1602,0.025133
1603,0.025112
1604,0.025161
1605,0.025189
1606,0.025236
1607,0.025389
1608,0.025268
1609,0.025203
1610,0.025381
1611,0.025537
1612,0.025577
1613,0.025651
1614,0.025525
1615,0.025484
1616,0.025472
1617,0.025463
1618,0.02538
1619,0.02592
1620,0.026082
1621,0.025983
1622,0.025951
1623,0.026279
1624,0.026627
1625,0.026764
1626,0.026774
1627,0.026867
1628,0.026789
1629,0.02672
1630,0.026737
1631,0.026838
1632,0.027175
1633,0.027318
1634,0.027267
1635,0.027177
1636,0.027278
1637,0.02721
1638,0.027082
1639,0.027126
1640,0.02719
1641,0.027351
1642,0.027393
1643,0.027488
1644,0.027638
1645,0.027636
1646,0.027673
1647,0.027495
1648,0.027488
1649,0.027524
1650,0.027548
1651,0.02774
1652,0.027816
1653,0.027751
1654,0.027866
1655,0.028083
1656,0.028135
1657,0.028182
1658,0.028224
1659,0.028221
1660,0.02844
1661,0.028751
1662,0.028968
1663,0.029115
1664,0.029288
1665,0.029249
1666,0.029269
1667,0.029459
1668,0.029519
1669,0.029969
1670,0.030603
1671,0.031139
1672,0.031613
1673,0.032034
1674,0.032459
1675,0.032839
1676,0.033451
1677,0.03419
1678,0.034816
1679,0.035409
1680,0.036284
1681,0.037506
1682,0.038802
1683,0.040164
1684,0.041841
1685,0.043953
1686,0.046311
1687,0.048205
1688,0.050412
1689,0.052971
1690,0.055382
1691,0.057137
1692,0.05836
1693,0.059506
1694,0.060448
1695,0.061157
1696,0.061802
1697,0.062347
1698,0.062974
1699,0.064065
1700,0.065434
1701,0.066348
1702,0.067249
1703,0.068082
1704,0.068547
1705,0.068811
1706,0.068973
1707,0.068841
1708,0.068323
1709,0.067716
1710,0.067094
1711,0.06645
1712,0.065858
1713,0.065394
1714,0.065311
1715,0.065419
1716,0.065438
1717,0.065716
1718,0.066094
1719,0.066867
1720,0.067679
1721,0.068218
1722,0.068668
1723,0.069052
1724,0.069059
1725,0.068923
1726,0.068809
1727,0.06859
1728,0.068395
1729,0.068291
1730,0.067966
1731,0.067889
1732,0.068036
1733,0.067999
1734,0.067982
1735,0.067914
1736,0.067526
1737,0.066769
1738,0.065877
1739,0.064841
1740,0.063678
1741,0.062473
1742,0.061287
1743,0.060326
1744,0.059629
1745,0.058631
1746,0.057932
1747,0.057581
1748,0.057074
1749,0.05676
1750,0.056193
1751,0.05599
1752,0.055841
1753,0.055303
1754,0.055
1755,0.054647
1756,0.054371
1757,0.054181
1758,0.053634
1759,0.053389
1760,0.053301
1761,0.053128
1762,0.053108
1763,0.053062
1764,0.052865
1765,0.052535
1766,0.052125
1767,0.051933
1768,0.051555
1769,0.051046
1770,0.050614
1771,0.0503
1772,0.049798
1773,0.049721
1774,0.049095
1775,0.048391
1776,0.048243
1777,0.047725
1778,0.047632
1779,0.047469
1780,0.047201
1781,0.046626
1782,0.046042
1783,0.046029
1784,0.046307
1785,0.045939
1786,0.045651
1787,0.045631
1788,0.045326
1789,0.045475
1790,0.045197
1791,0.04555
1792,0.045349
1793,0.045411
1794,0.04513
1795,0.045195
1796,0.045163
1797,0.045403
1798,0.045368
1799,0.045369
1800,0.045424
